nL,nR,nB,N,rL,rR,gL,gR,initial_visit,first_visit,after_first_visit,μL,μR,t,act
8.0,8.0,13.0,29.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,2
8.0,12.0,13.0,33.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.5,0.42857143,1.0,2
8.0,13.0,13.0,34.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.5,0.4,2.0,2
8.0,17.0,13.0,38.0,0.0,8.0,0.0,1.0,0.0,1.0,0.0,0.5,0.47368422,3.0,2
8.0,20.0,13.0,41.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.5,0.45454547,4.0,2
8.0,24.0,13.0,45.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.5,0.46153846,5.0,2
8.0,26.0,13.0,47.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.5,0.42857143,6.0,2
8.0,27.0,13.0,48.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.5,0.41379312,7.0,2
8.0,32.0,13.0,53.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.5,0.38235295,8.0,2
8.0,32.0,13.0,53.0,1.0,12.0,1.0,0.0,0.0,0.0,1.0,0.2,0.38235295,0.0,1
13.0,32.0,13.0,58.0,1.0,12.0,1.0,0.0,0.0,0.0,1.0,0.13333334,0.38235295,1.0,1
18.0,32.0,13.0,63.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,0.15,0.38235295,2.0,1
22.0,32.0,13.0,67.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,0.125,0.38235295,3.0,1
25.0,32.0,13.0,70.0,2.0,12.0,1.0,0.0,0.0,0.0,1.0,0.11111111,0.38235295,4.0,1
25.0,32.0,13.0,70.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.037037037,0.029411765,5.0,3
13.0,8.0,16.0,37.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.53333336,0.5,0.0,1
16.0,8.0,16.0,40.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1
20.0,8.0,16.0,44.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.59090906,0.5,2.0,1
25.0,8.0,16.0,49.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5555556,0.5,3.0,1
30.0,8.0,16.0,54.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.53125,0.5,4.0,1
31.0,8.0,16.0,55.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5151515,0.5,5.0,1
13.0,8.0,16.0,37.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06666667,0.5,6.0,4
11.0,12.0,8.0,31.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6923077,0.5,0.0,1
