subject,session,trial,time,duration,event,mouse_position,choice,visit,n_visits,n_samples,sample_size,ups_left,ups_right,red_left,red_right,colored_left,colored_right,colored_blocked
1,1,1,982.2781,2.71,start button,elsewhere,0,0,2,14,NaN,0.5,0.45,0,0,8.0,8.0,13.0
1,1,1,984.9898,1.26,reveal green,elsewhere,0,0,2,14,NaN,0.5,0.45,0,0,8.0,8.0,13.0
1,1,1,986.2506,1.35,reveal green,elsewhere,0,0,2,14,NaN,0.5,0.45,0,0,8.0,8.0,13.0
1,1,1,987.6014,4.22,reveal green,elsewhere,0,0,2,14,NaN,0.5,0.45,0,0,8.0,8.0,13.0
1,1,1,991.825,0.71,start sampling,elsewhere,0,0,2,14,NaN,0.5,0.45,0,0,8.0,8.0,13.0
1,1,1,992.5339,0.34,switch,right,0,1,2,14,8.0,0.5,0.45,0.0,4.0,8.0,8.0,13.0
1,1,1,992.8741,0.28,stay,right,0,1,2,14,4.0,0.5,0.45,0.0,5.0,8.0,12.0,13.0
1,1,1,993.1542,0.28,stay,right,0,1,2,14,1.0,0.5,0.45,0.0,5.0,8.0,13.0,13.0
1,1,1,993.4343,0.35,stay,right,0,1,2,14,4.0,0.5,0.45,0.0,8.0,8.0,17.0,13.0
1,1,1,993.7845,0.21,stay,right,0,1,2,14,3.0,0.5,0.45,0.0,9.0,8.0,20.0,13.0
1,1,1,993.9947,0.24,stay,right,0,1,2,14,4.0,0.5,0.45,0.0,11.0,8.0,24.0,13.0
1,1,1,994.2348,0.23,stay,right,0,1,2,14,2.0,0.5,0.45,0.0,11.0,8.0,26.0,13.0
1,1,1,994.4649,0.33,stay,right,0,1,2,14,1.0,0.5,0.45,0.0,11.0,8.0,27.0,13.0
1,1,1,994.795,0.39,stay,right,0,1,2,14,5.0,0.5,0.45,0.0,12.0,8.0,32.0,13.0
1,1,1,995.1852,0.22,switch,left,0,2,2,14,8.0,0.5,0.45,1.0,12.0,8.0,32.0,13.0
1,1,1,995.4054,0.3,stay,left,0,2,2,14,5.0,0.5,0.45,1.0,12.0,13.0,32.0,13.0
1,1,1,995.7054,0.34,stay,left,0,2,2,14,5.0,0.5,0.45,2.0,12.0,18.0,32.0,13.0
1,1,1,996.0456,0.3,stay,left,0,2,2,14,4.0,0.5,0.45,2.0,12.0,22.0,32.0,13.0
1,1,1,996.3458,0.35,stay,left,0,2,2,14,3.0,0.5,0.45,2.0,12.0,25.0,32.0,13.0
1,1,1,996.6959,0.21,select,left,0,2,2,14,NaN,0.5,0.45,0,0,25.0,32.0,13.0
1,1,1,996.906,7.94,outcome,elsewhere,0,2,2,14,NaN,0.5,0.45,0,0,25.0,32.0,13.0
1,1,2,1005.0504,1.28,start button,elsewhere,1,0,1,6,NaN,0.45,0.35,0,0,13.0,8.0,16.0
1,1,2,1006.3313,1.5,reveal green,elsewhere,1,0,1,6,NaN,0.45,0.35,0,0,13.0,8.0,16.0
1,1,2,1007.8323,1.14,reveal green,elsewhere,1,0,1,6,NaN,0.45,0.35,0,0,13.0,8.0,16.0
1,1,2,1008.9728,3.22,reveal green,elsewhere,1,0,1,6,NaN,0.45,0.35,0,0,13.0,8.0,16.0
1,1,2,1012.1959,0.59,start sampling,elsewhere,1,0,1,6,NaN,0.45,0.35,0,0,13.0,8.0,16.0
1,1,2,1012.7847,0.25,switch,left,1,1,1,6,13.0,0.45,0.35,7.0,0.0,13.0,8.0,16.0
